company,role,skills,cgpa_minimum
Tech Mahindra,Software Engineer,"Python, C++, Kubernetes, Docker, Java, Scala, Data Structures",7.1
Titan Industries,Game Developer,"Network Programming, C++, Game Physics, Vulkan, OpenGL, Shader Programming, 3D Graphics, Blender",6.6
Whisper AI,Data Analyst,"Data Cleaning, Dashboards, Python, Looker, Power BI, ETL, Adobe Analytics, SQL, Google Analytics, Statistics",7.9
Aperture Science,Systems Administrator,"Backup Solutions, PowerShell, Bash Scripting, Networking (TCP/IP, DNS, DHCP), Linux (Red Hat, Ubuntu), Security Patching, Windows Server, System Monitoring, Virtualization (VMware, Hyper-V)",8.4
QuantumLeap Analytics,Network Engineer,"Python, Network Monitoring (SNMP), Firewalls, Load Balancers, Juniper, DNS, Switching",8.4
HCL Technologies,Business Analyst,"JIRA, SQL, Requirements Gathering, Agile, Scrum, User Stories",6.6
Byju's,Systems Administrator,"System Monitoring, Backup Solutions, Active Directory, Virtualization (VMware, Hyper-V), PowerShell, Security Patching, Bash Scripting",8.3
Aperture Science,Full-Stack Developer,"Java, NoSQL, SQL, Express.js, PostgreSQL, GraphQL, JavaScript, Go, Vue.js",7.5
Myntra,Embedded Systems Engineer,"RTOS, VHDL, C++, Device Drivers, Circuit Design, Firmware, UART, SPI",8.2
Horizon Digital,Machine Learning Engineer,"NLP, NumPy, Scikit-learn, AWS SageMaker, Keras, GCP AI Platform, MLOps",7.0
PhonePe,Cybersecurity Analyst,"Cryptography, Wireshark, Firewalls, SIEM, Intrusion Detection Systems (IDS), Network Security, Python, Nmap",8.1
Tata Consultancy Services (TCS),Data Scientist,"R, Big Data, Deep Learning, Pandas, Hive, Tableau, Computer Vision",7.3
Whisper AI,Machine Learning Engineer,"Kubeflow, Java, Computer Vision, Algorithms, Kubernetes, Keras, Scikit-learn, NLP",7.2
CyberGuard Security,Game Developer,"Network Programming, AI for Games, Unreal Engine, Game Physics, Shader Programming, Vulkan, C++, 3D Graphics",6.3
Whisper AI,Systems Administrator,"Security Patching, PowerShell, Virtualization (VMware, Hyper-V), Backup Solutions, Active Directory",6.5
Lumina Analytics,Network Engineer,"Juniper, Cisco, VPN, TCP/IP, Switching, Ansible",7.3
Meesho,Cybersecurity Analyst,"Firewalls, Scripting, Network Security, Intrusion Detection Systems (IDS), Penetration Testing, Splunk, Metasploit, Security Compliance (ISO 27001, NIST)",6.3
Pinnacle Innovations,Cloud Engineer,"Azure Functions, Terraform, Cost Optimization, Kubernetes, Python, AWS Lambda, Cloud Security, Serverless, Azure",8.6
GhostWorks,Data Scientist,"Data Warehousing, Hadoop, Deep Learning, NLP, SQL, Machine Learning, A/B Testing, R, Big Data, Keras",8.5
HCL Technologies,Frontend Developer,"Babel, LESS, HTML5, Next.js, Responsive Design, Jest",6.2
Mindtree,Frontend Developer,"Gatsby, JavaScript, NPM, Babel, SASS, ES6+, Redux, Cypress, GraphQL, Vuex",7.6
Yellowstone Analytics,Network Engineer,"Network Monitoring (SNMP), Cisco, Routing (BGP, OSPF), DNS, Ansible, Load Balancers, Switching, Python",7.4
HCL Technologies,Cloud Engineer,"Networking (VPC, Subnets), AWS Lambda, GCP, Terraform, Docker, Cost Optimization, Identity and Access Management (IAM), Go",7.3
Reliance Jio,Mobile App Developer,"Java, Xcode, Kotlin, RxJava, REST APIs, Xamarin, Dart, Android SDK, Objective-C, Swift",8.7
Juno Solutions,Backend Developer,"CI/CD, MySQL, SQL, C#, Message Queues, NoSQL, PHP, .NET",8.6
Larsen & Toubro Infotech (LTI),Systems Administrator,"Linux (Red Hat, Ubuntu), System Monitoring, Virtualization (VMware, Hyper-V), Active Directory, Security Patching, Backup Solutions, Ansible, Networking (TCP/IP, DNS, DHCP), Windows Server, PowerShell",6.2
PhonePe,Full-Stack Developer,"REST APIs, JavaScript, Docker, React, MongoDB, Angular, Flask, Node.js",8.7
QuantumLeap Analytics,Software Engineer,"System Design, Rust, Linux/Unix, Git, Unit Testing, Microservices, Algorithms, Integration Testing, Object-Oriented Programming (OOP), Java",7.2
Myntra,Machine Learning Engineer,"Python, MLOps, Azure ML, Computer Vision, GCP AI Platform, Java, Caffe, Kubernetes",6.0
Bharti Airtel,Product Manager,"Market Research, Roadmap Planning, SQL, Data Analysis, Kanban",7.5
Meesho,Systems Administrator,"Virtualization (VMware, Hyper-V), Backup Solutions, Windows Server, Ansible, Security Patching",8.5
CloudSphere Dynamics,Cybersecurity Analyst,"Cryptography, SIEM, Penetration Testing, Network Security, Scripting, Security Compliance (ISO 27001, NIST), Splunk, Nmap",8.6
GhostWorks,Product Manager,"A/B Testing, Scrum, Kanban, JIRA, Roadmap Planning, User Stories, Product Lifecycle Management, Stakeholder Communication",6.0
Pinnacle Innovations,Software Engineer,"Java, Agile, Object-Oriented Programming (OOP), Data Structures, Rust, Integration Testing, System Design, C++, Scala",7.0
BinaryBridge Technologies,Product Manager,"Agile, JIRA, Roadmap Planning, SQL, Market Research, Competitive Analysis",7.4
Tech Mahindra,Embedded Systems Engineer,"Assembly Language, Linux Kernel, Device Drivers, UART, Microcontrollers (ARM, AVR), SPI, Firmware",7.1
Wipro,Data Scientist,"R, Keras, Statistics, Computer Vision, SQL, Data Warehousing, Pandas, Machine Learning",8.5
BlueSun Corporation,Systems Administrator,"System Monitoring, Windows Server, Linux (Red Hat, Ubuntu), Ansible, Active Directory, Virtualization (VMware, Hyper-V), PowerShell",6.1
FusionWorks Software,Network Engineer,"Ansible, Network Security, VPN, DNS, Python, Juniper, TCP/IP, Network Monitoring (SNMP), Cisco",6.6
QuantumLeap Analytics,Game Developer,"C++, 3D Graphics, Blender, Network Programming, Game Physics, Unity",8.2
TerraForm Inc.,UI/UX Designer,"A/B Testing, Sketch, Agile, User Research, HTML/CSS fundamentals, Adobe XD",8.8
Umbra Technologies,Mobile App Developer,"Kotlin, REST APIs, Android Studio, Xcode, Dart, Objective-C, iOS SDK, Xamarin, Realm, Core Data",9.0
Uber India,Data Scientist,"Big Data, Spark, PyTorch, Python, Probability, Power BI, Hive, Statistics, Data Visualization",7.5
InMobi,Product Manager,"Market Research, Agile, Stakeholder Communication, SQL, Data Analysis, User Stories, Scrum, A/B Testing",6.2
Swiggy,Network Engineer,"Python, Firewalls, Routing (BGP, OSPF), Switching, VPN, Network Monitoring (SNMP), TCP/IP",7.2
Swiggy,Database Administrator (DBA),"NoSQL, MongoDB, Performance Tuning, PostgreSQL, Database Design, Backup and Recovery, MySQL, SQL, Oracle DB",7.5
Bharti Airtel,Systems Administrator,"Ansible, Backup Solutions, Security Patching, Active Directory, System Monitoring, Windows Server",6.2
Policybazaar,Machine Learning Engineer,"TensorFlow, Kubernetes, NLP, Kubeflow, GCP AI Platform, Keras, PyTorch, Pandas, Computer Vision",6.4
PhonePe,Cloud Engineer,"AWS Lambda, Docker, CloudFormation, Cost Optimization, Go, Python, Azure Functions",7.8
CRED,Software Engineer,"Java, Object-Oriented Programming (OOP), Go, Git, Linux/Unix, Rust, Algorithms, Python, C#",7.7
DataGenius AI,Full-Stack Developer,"AWS, Vue.js, React, Docker, REST APIs, Go, TypeScript, JavaScript",7.6
Kinetic Flow,Systems Administrator,"Backup Solutions, Ansible, Networking (TCP/IP, DNS, DHCP), Windows Server, Linux (Red Hat, Ubuntu)",7.3
Aperture Science,Database Administrator (DBA),"Backup and Recovery, Database Design, MySQL, Replication, NoSQL, SQL, Python, Microsoft SQL Server, MongoDB",7.8
BlueSun Corporation,Frontend Developer,"Babel, Angular, GraphQL, NPM, Redux, React, Yarn, Webpack, CSS3",6.3
Larsen & Toubro Infotech (LTI),Mobile App Developer,"Xcode, Xamarin, Objective-C, UI/UX Principles, Java, REST APIs, Android Studio",8.4
Infinite Loop Development,Cybersecurity Analyst,"Cryptography, Firewalls, Metasploit, SIEM, Incident Response, Intrusion Detection Systems (IDS), Security Compliance (ISO 27001, NIST), Python",7.8
Nykaa,QA Engineer,"JIRA, Postman, Performance Testing, Test Planning, Regression Testing, SQL, API Testing",7.7
Foxglove AI,QA Engineer,"Postman, Manual Testing, API Testing, Bug Tracking, Appium, Regression Testing, Selenium, LoadRunner, Test Cases, JIRA",7.7
Crimson Logic,Game Developer,"3D Graphics, AI for Games, Unreal Engine, C#, OpenGL, Unity",8.5
NextGen AI Labs,Database Administrator (DBA),"Shell Scripting, Performance Tuning, Backup and Recovery, Replication, Oracle DB, Cassandra",7.9
Larsen & Toubro Infotech (LTI),Database Administrator (DBA),"Shell Scripting, Python, Cassandra, NoSQL, Replication",7.6
Vortex IO,Database Administrator (DBA),"Cassandra, Data Security, Database Design, PostgreSQL, Performance Tuning, MongoDB, MySQL, Python",8.4
RedShift Technologies,Backend Developer,"REST APIs, .NET, Kubernetes, MongoDB, Node.js, Redis, Flask, Docker",7.2
Crimson Logic,DevOps Engineer,"Security, Python Scripting, Google Cloud Platform (GCP), Linux, Ansible, Grafana, CI/CD, Terraform",6.9
Upstox,Cybersecurity Analyst,"Nmap, Network Security, SIEM, Scripting, Firewalls, Incident Response, Cryptography",6.3
Zomato,Embedded Systems Engineer,"Circuit Design, Firmware, Microcontrollers (ARM, AVR), I2C, C++, RTOS, Device Drivers, VHDL, Assembly Language, UART",7.9
Yellowstone Analytics,Network Engineer,"Network Monitoring (SNMP), Cisco, Firewalls, DNS, Routing (BGP, OSPF), Ansible, Switching, Python",7.9
Vedantu,Product Manager,"Agile, User Stories, Kanban, SQL, Competitive Analysis, A/B Testing, JIRA, Data Analysis, Scrum",8.0
EchoSphere,Business Analyst,"MS Visio, JIRA, Agile, Stakeholder Management, Process Mapping, Confluence, Financial Modeling, Business Case Development",8.7
CloudSphere Dynamics,Software Engineer,"System Design, C#, Object-Oriented Programming (OOP), Microservices, Linux/Unix, Unit Testing",7.1
CRED,Database Administrator (DBA),"Cassandra, Data Security, Backup and Recovery, MySQL, Replication, Python, MongoDB, Performance Tuning, SQL",8.4
Wavefront Labs,Product Manager,"Market Research, Go-to-Market Strategy, Agile, Kanban, Roadmap Planning, JIRA",8.1
Vortex IO,Business Analyst,"ExTableau, Confluence, Business Case Development, MS Visio, Financial Modeling, UML, Scrum",8.5
CodeCrafters Inc.,Network Engineer,"VPN, Network Security, Network Monitoring (SNMP), Switching, Juniper, Firewalls, Load Balancers",6.8
Diamondback Systems,Network Engineer,"Load Balancers, Network Security, Juniper, Switching, Python, DNS",7.7
RedShift Technologies,Product Manager,"Data Analysis, Competitive Analysis, Market Research, Product Lifecycle Management, JIRA, Confluence, Stakeholder Communication",7.1
OYO Rooms,QA Engineer,"Manual Testing, JIRA, Regression Testing, Test Planning, Playwright, LoadRunner, Performance Testing, API Testing",6.6
Meesho,Cloud Engineer,"Azure, Cloud Security, Azure Functions, Serverless, Docker, AWS Lambda",7.9
Zephyr Innovations,Cybersecurity Analyst,"Metasploit, SIEM, Splunk, Firewalls, Nmap, Scripting, Network Security",8.6
Vortex IO,UI/UX Designer,"Adobe XD, Wireframing, Sketch, Figma, User Research, Prototyping",8.7
Zephyr Innovations,Game Developer,"Network Programming, Blender, Game Physics, OpenGL, DirectX, AI for Games, Unity, Unreal Engine, Vulkan",7.7
Swiggy,Embedded Systems Engineer,"VHDL, Microcontrollers (ARM, AVR), RTOS, C++, Python, Firmware, UART, C, Assembly Language",8.6
CodeCrafters Inc.,Data Scientist,"NLP, NumPy, Power BI, Data Warehousing, Big Data, Pandas, Probability, Tableau",7.5
BharatPe,Cybersecurity Analyst,"Network Security, Wireshark, Penetration Testing, Cryptography, Intrusion Detection Systems (IDS)",7.6
SilverLining Cloud,Systems Administrator,"Virtualization (VMware, Hyper-V), Ansible, System Monitoring, Active Directory, PowerShell, Security Patching, Networking (TCP/IP, DNS, DHCP), Windows Server, Backup Solutions, Linux (Red Hat, Ubuntu)",7.6
PulsePoint,Network Engineer,"Cisco, Network Security, Python, Network Monitoring (SNMP), Juniper, Routing (BGP, OSPF), Load Balancers, Ansible, TCP/IP",7.2
HCL Technologies,Cybersecurity Analyst,"Splunk, Intrusion Detection Systems (IDS), Nmap, Network Security, Incident Response, SIEM, Firewalls",8.1
Xenon Dynamics,Cybersecurity Analyst,"SIEM, Penetration Testing, Incident Response, Intrusion Detection Systems (IDS), Network Security, Firewalls, Splunk",6.0
Tata Consultancy Services (TCS),Mobile App Developer,"Xamarin, React Native, Java, Xcode, Android Studio, Dart",7.6
Wipro,Backend Developer,"Go, Flask, C#, GraphQL, Express.js, Ruby, Redis, Kafka, Microservices",7.8
BharatPe,Data Scientist,"PyTorch, SQL, Pandas, NLP, A/B Testing, Probability",6.9
Nebula Corporation,Database Administrator (DBA),"Python, Performance Tuning, Microsoft SQL Server, Replication, Cassandra, Backup and Recovery, Data Security, Oracle DB",7.4
Stellar Solutions,Frontend Developer,"REST APIs, React, JavaScript, Responsive Design, GraphQL, Cypress",8.4
HCL Technologies,Game Developer,"Blender, Vulkan, Network Programming, Shader Programming, AI for Games, DirectX, 3D Graphics, Unity, C++",8.0
Foxglove AI,Business Analyst,"SQL, JIRA, SWOT Analysis, Financial Modeling, UML, Process Mapping, Business Case Development",6.1
Razorpay,Software Engineer,"C++, Agile, Scala, Docker, Integration Testing, Linux/Unix, Java, Rust, Kubernetes, Python",8.0
Upstox,Software Engineer,"C++, Object-Oriented Programming (OOP), Docker, Go, Scrum, Microservices",7.7
Foxglove AI,Business Analyst,"User Stories, Confluence, Business Case Development, ExTableau, UML, Agile, SWOT Analysis, Scrum, JIRA",8.6
Ola Cabs,Game Developer,"OpenGL, Network Programming, C#, Vulkan, C++, Unreal Engine, AI for Games, DirectX, 3D Graphics",8.6
SynthCore Robotics,Network Engineer,"Load Balancers, Routing (BGP, OSPF), Python, Ansible, Switching, Network Monitoring (SNMP), TCP/IP, Cisco, DNS, Juniper",8.4
InnovateTech Solutions,Product Manager,"User Stories, Competitive Analysis, Market Research, Confluence, SQL, Product Lifecycle Management, A/B Testing, Agile, Data Analysis",7.9
QuantumMetric,Cloud Engineer,"Azure, Terraform, Cost Optimization, Python, Docker, Azure Functions, Networking (VPC, Subnets), AWS",6.2
Meteor Innovations,Backend Developer,"Go, SQL, MySQL, Ruby, Kubernetes, Node.js, REST APIs",8.5
Orion Enterprises,Product Manager,"Agile, Product Lifecycle Management, Competitive Analysis, Confluence, A/B Testing, SQL, User Stories, JIRA",6.4
Lumina Analytics,Frontend Developer,"Angular, Web Performance, Next.js, TypeScript, NPM, CSS3, Gatsby",8.1
GhostWorks,QA Engineer,"API Testing, Regression Testing, LoadRunner, Performance Testing, JMeter",6.3
RedShift Technologies,Cloud Engineer,"Go, Cost Optimization, Python, GCP, Cloud Security, Docker, Azure Functions",8.0
Policybazaar,Product Manager,"JIRA, Go-to-Market Strategy, User Stories, Stakeholder Communication, Competitive Analysis, Scrum",7.7
SynthCore Robotics,Data Scientist,"NLP, Probability, Tableau, Keras, Big Data, Hadoop, Data Visualization, Power BI",7.3
Horizon Digital,Machine Learning Engineer,"Python, Distributed Computing, Reinforcement Learning, Pandas, Algorithms, Keras, Data Structures, Java, Kubernetes",8.0
RedShift Technologies,Mobile App Developer,"Xamarin, Android Studio, React Native, Flutter, Core Data, iOS SDK, Realm, Java",8.5
Adani Enterprises,Product Manager,"Go-to-Market Strategy, Kanban, Competitive Analysis, A/B Testing, Market Research, JIRA, Product Lifecycle Management, Confluence",8.0
Tata Digital,Cloud Engineer,"Azure Functions, Azure, Cost Optimization, Kubernetes, Terraform",8.2
Mphasis,Data Analyst,"Tableau, A/B Testing, SAS, Adobe Analytics, Python, Power BI, Dashboards, Data Cleaning, JIRA, VBA",7.5
Policybazaar,Full-Stack Developer,"Python, PostgreSQL, Go, CI/CD, GraphQL, Angular",6.6
Quasar Data,Frontend Developer,"Next.js, GraphQL, Vuex, Vue.js, HTML5, Yarn, JavaScript, CSS3, Responsive Design, Web Performance",7.7
Obsidian Dynamics,Data Scientist,"Statistics, Data Warehousing, Hadoop, A/B Testing, Tableau, Pandas, Airflow, Hive, SQL, Probability",7.7
Udaan,Data Analyst,"SQL, Excel, Qlik Sense, SAS, R, Adobe Analytics, Google Analytics, Data Cleaning, Dashboards",8.7
Wipro,Product Manager,"Kanban, Market Research, Scrum, Data Analysis, SQL, JIRA",8.6
Meesho,Machine Learning Engineer,"Kubernetes, NLP, Algorithms, GCP AI Platform, MLOps",6.3
Udaan,Business Analyst,"ExTableau, MS Visio, Requirements Gathering, Business Case Development, Agile, UML, User Stories, Scrum",6.9
Delhivery,Network Engineer,"Network Security, DNS, Juniper, Load Balancers, Firewalls, Ansible",7.9
Juno Solutions,Frontend Developer,"ES6+, NPM, Vuex, Redux, JavaScript, Cypress, REST APIs, Babel, Jest",6.1
Crimson Logic,Product Manager,"Scrum, Stakeholder Communication, JIRA, SQL, Product Lifecycle Management, Data Analysis, Go-to-Market Strategy",8.4
InMobi,QA Engineer,"Cypress, SQL, Bug Tracking, Manual Testing, Postman, LoadRunner",7.9
Helios Systems,QA Engineer,"Regression Testing, Test Planning, Performance Testing, Appium, Manual Testing, JMeter, Test Cases",6.4
Diamondback Systems,Embedded Systems Engineer,"Linux Kernel, UART, Microcontrollers (ARM, AVR), Verilog, SPI, I2C, Device Drivers",7.9
Jade Mountain,Network Engineer,"Firewalls, Load Balancers, VPN, Switching, Cisco, Routing (BGP, OSPF), Ansible, Network Monitoring (SNMP), Network Security",7.8
OYO Rooms,Cybersecurity Analyst,"Incident Response, Network Security, Nmap, SIEM, Cryptography",6.5
Kinetic Flow,Cloud Engineer,"Kubernetes, AWS Lambda, Serverless, Azure Functions, CloudFormation, AWS, Go, Azure",6.5
Quasar Data,Data Analyst,"Reporting, VBA, Adobe Analytics, Excel, R, Data Warehousing",8.6
Titan Industries,Full-Stack Developer,"MongoDB, PostgreSQL, REST APIs, Flask, JavaScript, Docker",7.5
Nebula Corporation,UI/UX Designer,"Prototyping, Wireframing, User Research, UI/UX Design Principles, Design Systems, Sketch, Figma",6.1
Infosys,Product Manager,"Go-to-Market Strategy, Roadmap Planning, Kanban, A/B Testing, JIRA, Scrum, User Stories, SQL, Market Research",8.0
Bharti Airtel,QA Engineer,"Test Cases, JMeter, Performance Testing, Manual Testing, Postman, Test Planning, Cypress, Automation Testing",6.6
Pinnacle Innovations,Frontend Developer,"React, Babel, ES6+, NPM, LESS, GraphQL, Vuex, Cypress",8.5
NextGen AI Labs,QA Engineer,"Regression Testing, Playwright, Appium, LoadRunner, JMeter",6.4
Tech Mahindra,Business Analyst,"Financial Modeling, SQL, Stakeholder Management, Scrum, Business Case Development, User Stories, SWOT Analysis, MS Visio, Requirements Gathering, Process Mapping",7.3
Stellar Solutions,DevOps Engineer,"Security, Ansible, CI/CD, Chef, AWS, Terraform, Azure, Puppet",7.4
Vanguard Tech,Database Administrator (DBA),"Backup and Recovery, Cassandra, Shell Scripting, SQL, Microsoft SQL Server",8.3
NextGen AI Labs,Database Administrator (DBA),"SQL, PostgreSQL, Data Security, Replication, MySQL, Performance Tuning, MongoDB, Shell Scripting, Python, Microsoft SQL Server",7.8
AlphaStream Data,Data Analyst,"Excel, Adobe Analytics, ETL, Data Cleaning, Python",7.2
HCL Technologies,DevOps Engineer,"Linux, Security, Docker, Jenkins, Puppet, Terraform, Google Cloud Platform (GCP), Azure, Networking",6.8
QuantumMetric,Mobile App Developer,"Dart, Android SDK, React Native, Kotlin, UI/UX Principles, Realm, RxJava, Core Data",8.7
OYO Rooms,Frontend Developer,"JavaScript, CSS3, TypeScript, Vue.js, Webpack, LESS, Next.js, Babel",6.2
CRED,Data Analyst,"Reporting, Pandas, Power BI, Statistics, Adobe Analytics, SQL, Python, VBA",6.4
CRED,Frontend Developer,"NPM, Yarn, TypeScript, React, Angular, Responsive Design, SASS",7.5
Diamondback Systems,Backend Developer,"Docker, REST APIs, Kubernetes, Message Queues, C#, NoSQL, MongoDB, PostgreSQL, Express.js",7.9
Policybazaar,DevOps Engineer,"Chef, Grafana, Google Cloud Platform (GCP), Networking, GitLab CI",7.9
Umbra Technologies,Network Engineer,"Network Monitoring (SNMP), Ansible, Switching, Juniper, Cisco, Network Security",7.7
Adani Enterprises,Data Analyst,"SAS, VBA, SQL, Python, ETL, Pandas, Reporting, Adobe Analytics, R, Qlik Sense",8.2
BlueSun Corporation,Machine Learning Engineer,"Computer Vision, NumPy, GCP AI Platform, Kubeflow, Reinforcement Learning, Python, AWS SageMaker, Keras, Algorithms, Java",6.2
Yellowbrick Data,Frontend Developer,"REST APIs, Responsive Design, Next.js, Babel, Jest, TypeScript, Vue.js",8.6
Razorpay,UI/UX Designer,"Agile, UI/UX Design Principles, Adobe XD, Zeplin, User Research, Usability Testing",8.1
Vortex IO,Cloud Engineer,"AWS, Cloud Security, Serverless, Azure, Identity and Access Management (IAM), Terraform, AWS Lambda, Azure Functions",7.1
Mphasis,Game Developer,"Blender, Unreal Engine, Shader Programming, Vulkan, AI for Games, 3D Graphics, Network Programming",8.7
QuantumMetric,Data Scientist,"R, Statistics, Machine Learning, SQL, Python, Computer Vision",7.3
Meteor Innovations,Embedded Systems Engineer,"Firmware, Microcontrollers (ARM, AVR), VHDL, C, Python, UART, Device Drivers",6.4
Infosys,Frontend Developer,"CSS3, React, ES6+, Gatsby, Cypress",7.5
EchoSphere,Database Administrator (DBA),"Backup and Recovery, Microsoft SQL Server, PostgreSQL, Replication, Shell Scripting",8.9
Bharti Airtel,Full-Stack Developer,"Django, Python, Go, AWS, GraphQL, PostgreSQL",6.9
CodeCrafters Inc.,Software Engineer,"C#, Docker, Scala, Linux/Unix, Python",6.9
Infinite Loop Development,Business Analyst,"Agile, UML, ExTableau, MS Visio, User Stories",7.2
Unacademy,Data Scientist,"Python, Data Visualization, Hadoop, Deep Learning, TensorFlow, Big Data, Probability, Computer Vision, Pandas",6.3
Razorpay,Data Scientist,"Scikit-learn, Computer Vision, PyTorch, NumPy, R",8.9
Myntra,Mobile App Developer,"Android Studio, React Native, Xamarin, RxSwift, RxJava, UI/UX Principles, Flutter",6.4
BlueSun Corporation,QA Engineer,"Bug Tracking, Test Planning, Automation Testing, Playwright, Performance Testing, Selenium, Test Cases, JIRA, Cypress",8.3
Kinetic Flow,Full-Stack Developer,"AWS, System Design, Java, Flask, Docker, Azure, NoSQL, Git, Angular, Express.js",7.4
Freshworks,Systems Administrator,"Networking (TCP/IP, DNS, DHCP), Ansible, Linux (Red Hat, Ubuntu), Virtualization (VMware, Hyper-V), Security Patching, PowerShell, Backup Solutions, Bash Scripting, Windows Server",7.4
RedShift Technologies,Cybersecurity Analyst,"Incident Response, Security Compliance (ISO 27001, NIST), Scripting, Metasploit, Cryptography, Python, Nmap",7.9
Postman,Systems Administrator,"Virtualization (VMware, Hyper-V), Security Patching, System Monitoring, PowerShell, Windows Server, Active Directory, Linux (Red Hat, Ubuntu), Ansible, Backup Solutions",7.9
Persistent Systems,Game Developer,"Unity, Unreal Engine, Vulkan, C++, Blender, Shader Programming, Maya, AI for Games, OpenGL, C#",7.9
X-Factor Solutions,Software Engineer,"Git, Docker, Java, Agile, Microservices, Linux/Unix, Python, C++, C#",8.8
DataGenius AI,Business Analyst,"MS Visio, ExTableau, Financial Modeling, UML, Scrum, Requirements Gathering, SWOT Analysis, Agile, Stakeholder Management",8.5
Momentum Dynamics,Network Engineer,"Juniper, Firewalls, Network Monitoring (SNMP), Routing (BGP, OSPF), Cisco, Python, VPN",6.9
Wavefront Labs,Cybersecurity Analyst,"Incident Response, Security Compliance (ISO 27001, NIST), Nmap, Scripting, Penetration Testing, Splunk",6.0
BinaryBridge Technologies,Database Administrator (DBA),"Shell Scripting, Microsoft SQL Server, Database Design, SQL, MySQL, Python, NoSQL, Backup and Recovery",8.7
Tata Consultancy Services (TCS),Frontend Developer,"ES6+, HTML5, Vuex, Angular, Cypress, Redux, Web Performance, React, Vue.js, Webpack",7.8
HCL Technologies,Frontend Developer,"Angular, Vue.js, Gatsby, SASS, NPM, Babel",7.7
Diamondback Systems,Business Analyst,"Business Case Development, Agile, JIRA, Confluence, User Stories, UML, SWOT Analysis, SQL",8.9
Mindtree,Mobile App Developer,"Firebase, Xcode, Swift, iOS SDK, Android Studio",6.9
Foxglove AI,DevOps Engineer,"Kubernetes, Chef, Prometheus, Python Scripting, Networking",8.3
Helios Systems,DevOps Engineer,"Azure, Kubernetes, Terraform, Python Scripting, Puppet",7.8
SilverLining Cloud,Data Analyst,"Statistics, Tableau, Power BI, Data Cleaning, Python",8.8
Nykaa,Database Administrator (DBA),"Shell Scripting, Database Design, Cassandra, Performance Tuning, SQL, Replication, Backup and Recovery, Python, NoSQL",6.4
Jade Mountain,Cloud Engineer,"CloudFormation, Kubernetes, AWS Lambda, Azure Functions, Python, Azure, AWS, Cost Optimization, Identity and Access Management (IAM), Serverless",7.7
EchoSphere,Business Analyst,"User Stories, Requirements Gathering, SWOT Analysis, UML, Financial Modeling, Business Case Development, Confluence, ExTableau, Stakeholder Management",8.8
Pinnacle Innovations,Frontend Developer,"Gatsby, TypeScript, SASS, Babel, Cypress, NPM, ES6+, Angular, Responsive Design",7.2
Pinnacle Innovations,Data Scientist,"Data Visualization, Scikit-learn, SQL, R, Hive",6.6
Tech Mahindra,Mobile App Developer,"Core Data, iOS SDK, RxSwift, Dart, React Native, Swift, Realm, Kotlin",7.3
X-Factor Solutions,Frontend Developer,"Yarn, JavaScript, Web Performance, Responsive Design, React",8.9
BharatPe,Frontend Developer,"JavaScript, Next.js, HTML5, SASS, CSS3, Yarn",6.3
HCL Technologies,Mobile App Developer,"Flutter, REST APIs, Swift, Xcode, iOS SDK, Firebase, Dart",7.5
Persistent Systems,Frontend Developer,"Vuex, Redux, Yarn, Vue.js, Angular, HTML5, CSS3, LESS, TypeScript, SASS",6.7
CRED,Mobile App Developer,"Kotlin, Xamarin, Objective-C, RxJava, Xcode",6.6
Pinnacle Innovations,Business Analyst,"ExTableau, UML, Requirements Gathering, Financial Modeling, Confluence, Stakeholder Management",7.6
Wipro,UI/UX Designer,"UI/UX Design Principles, Wireframing, User Research, Agile, HTML/CSS fundamentals, InVision, Zeplin, Design Systems",6.7
Riptide Software,Data Analyst,"Adobe Analytics, Reporting, Data Warehousing, VBA, Python, A/B Testing, SQL",8.1
Nebula Corporation,Mobile App Developer,"Realm, Android Studio, React Native, Dart, iOS SDK, Java, Core Data, RxSwift, Kotlin",7.8
Wipro,Mobile App Developer,"Objective-C, Android Studio, iOS SDK, Xcode, Kotlin, REST APIs, Firebase, Core Data",8.1
Hexaware Technologies,Data Scientist,"Computer Vision, Keras, Hadoop, Airflow, SQL, Machine Learning, NLP, Pandas",6.8
CloudSphere Dynamics,Machine Learning Engineer,"Keras, AWS SageMaker, Caffe, Computer Vision, Algorithms, Docker, Distributed Computing, Kubernetes, TensorFlow",7.0
Adani Enterprises,Software Engineer,"Docker, Agile, Linux/Unix, Kubernetes, Scrum, Go",7.3
Helios Systems,Network Engineer,"Network Monitoring (SNMP), Routing (BGP, OSPF), Firewalls, DNS, Python, Load Balancers, VPN, TCP/IP",8.3
Titan Industries,Cybersecurity Analyst,"Python, SIEM, Network Security, Nmap, Wireshark, Intrusion Detection Systems (IDS), Cryptography, Security Compliance (ISO 27001, NIST), Incident Response",8.0
Whisper AI,Embedded Systems Engineer,"Firmware, Linux Kernel, Circuit Design, Python, Verilog, RTOS, Microcontrollers (ARM, AVR)",8.1
Freshworks,QA Engineer,"Performance Testing, Test Cases, Manual Testing, LoadRunner, Cypress, JIRA, Playwright, Bug Tracking, Selenium",6.9
InnovateTech Solutions,Machine Learning Engineer,"Python, GCP AI Platform, PyTorch, C++, Computer Vision, Kubeflow, Azure ML, Distributed Computing",7.6
Paytm,Machine Learning Engineer,"Kubeflow, Java, TensorFlow, Distributed Computing, Azure ML, Kubernetes",6.9
